Ambuja Cements,,₹382.651.40(0.37%),₹370.85,"₹73,637",
SRF,,"₹2,498.5544.65(1.82%)","₹2,420.80","₹71,757",
Interglobe Aviation,,"₹2,075.2589.15(4.49%)","₹1,843.00","₹71,002",
Dr Reddy's Labs,,"₹4,155.007.05(0.17%)","₹4,260.05","₹70,708",
BPCL,,₹336.402.45(0.73%),₹326.05,"₹70,505",
Tata Power,,₹230.302.65(1.16%),₹218.15,"₹69,706",
HAL,,"₹1,997.30-7.35(0.37%)","₹2,024.65","₹67,701",
Marico,,₹519.70-11.85(2.23%),₹514.50,"₹66,446",
Nykaa,,"₹1,411.25-33.15(2.30%)","₹1,400.95","₹66,442",
Bharat Electronics,,₹276.15-8.00(2.82%),₹272.35,"₹66,360",
GAIL (India),,₹132.90-7.20(5.14%),₹145.95,"₹63,975",
Bank of Baroda,,₹117.90-0.70(0.59%),₹117.15,"₹60,582",
Apollo Hospitals,,"₹4,374.10-21.70(0.49%)","₹4,190.50","₹60,252",
Indus Towers,,₹200.20-3.10(1.52%),₹223.05,"₹60,098",
Berger Paints,,₹673.756.75(1.01%),₹617.20,"₹59,951",
ICICI Lombard,,"₹1,199.85-2.35(0.20%)","₹1,189.20","₹58,393",
Samvardhana Motherson,,₹130.300.25(0.19%),₹128.40,"₹58,006",
Bajaj Holdings,,"₹5,257.70-87.20(1.63%)","₹5,187.50","₹57,733",
ABB India,,"₹2,688.2019.85(0.74%)","₹2,722.25","₹57,686",
Varun Beverages,,"₹1,025.2521.50(2.14%)",₹876.25,"₹56,916",
United Spirits,,₹786.500.30(0.04%),₹780.65,"₹56,725",
Cholamandalam Invest,,₹785.3022.25(2.92%),₹690.10,"₹56,692",
Macrotech Devs,,"₹1,066.4529.20(2.82%)","₹1,171.10","₹56,403",
Hero MotoCorp,,"₹2,770.70-36.30(1.29%)","₹2,780.70","₹55,563",
MindTree,,"₹3,531.7533.90(0.96%)","₹3,325.40","₹54,819",
UPL,,₹743.4511.70(1.60%),₹727.70,"₹54,621",
Tata Elxsi,,"₹9,308.60351.90(3.93%)","₹8,560.00","₹53,308",
Page Industries,,"₹48,211.60-815.10(1.66%)","₹47,760.50","₹53,271",
Info Edge (India),,"₹4,310.0552.00(1.22%)","₹4,086.15","₹52,599",
Torrent Pharma,,"₹1,556.55-4.15(0.27%)","₹1,502.80","₹50,861",
Bosch,,"₹17,418.20-143.55(0.82%)","₹16,571.80","₹48,876",
IRCTC,,₹642.353.35(0.52%),₹602.50,"₹48,200",
PI Industries,,"₹3,245.30104.85(3.34%)","₹3,065.80","₹46,497",
Paytm,,₹784.30-24.75(3.06%),₹715.70,"₹46,438",
P&G,,"₹14,078.25-666.05(4.52%)","₹14,218.55","₹46,154",
Delhivery,,₹633.7012.05(1.94%),₹627.50,"₹45,462",
Bandhan Bank,,₹274.10-4.70(1.69%),₹280.50,"₹45,182",
Trent,,"₹1,315.90-0.85(0.06%)","₹1,258.80","₹44,748",
Balkrishna Industries,,"₹2,162.80-157.15(6.77%)","₹2,278.65","₹44,050",
Piramal Enterprises,,"₹1,726.10-5.75(0.33%)","₹1,839.15","₹43,733",
Star Health Insurance,,₹707.957.65(1.09%),₹758.05,"₹43,671",
United Breweries,,"₹1,617.255.15(0.32%)","₹1,618.40","₹42,791",
Ashok Leyland,,₹145.90-2.60(1.75%),₹145.55,"₹42,726",
Muthoot Finance,,"₹1,144.4043.10(3.91%)","₹1,063.90","₹42,700",
Colgate-Palmolive,,"₹1,614.1019.10(1.20%)","₹1,548.85","₹42,126",
Mphasis,,"₹2,394.8523.40(0.99%)","₹2,236.20","₹42,057",
Abbott India,,"₹20,426.2512.85(0.06%)","₹19,762.30","₹41,993",
Container Corp,,₹703.70-22.60(3.11%),₹686.05,"₹41,800",
HDFC Asset Mgmt Co,,"₹2,002.0514.70(0.74%)","₹1,945.15","₹41,490",
TVS Motor Company,,₹948.3514.25(1.53%),₹870.60,"₹41,361",
Canara Bank,,₹228.003.40(1.51%),₹226.20,"₹41,035",
ACC,,"₹2,255.1032.80(1.48%)","₹2,180.75","₹40,951",
Godrej Properties,,"₹1,464.10-48.15(3.18%)","₹1,460.00","₹40,588",
Tube Investments,,"₹2,306.7587.25(3.93%)","₹2,095.70","₹40,445",
Schaeffler India,,"₹2,826.2026.80(0.96%)","₹2,584.45","₹40,395",
Ruchi Soya Inds,,"₹1,054.700.00(0.00%)","₹1,100.45","₹39,836",
JSW Energy,,₹285.8012.10(4.42%),₹242.80,"₹39,812",
Shriram Transport,,"₹1,362.452.55(0.19%)","₹1,460.95","₹39,521",
Alkem Laboratories,,"₹3,112.80-38.90(1.23%)","₹3,227.70","₹38,591",
Jindal Steel & Power,,₹377.65-6.35(1.65%),₹377.20,"₹38,477",
IDBI Bank,,₹40.75-1.00(2.40%),₹35.25,"₹37,902",
Gland Pharma,,"₹2,264.05-52.60(2.27%)","₹2,279.25","₹37,529",
Indian Hotels Co,,₹269.80-0.65(0.24%),₹263.15,"₹37,377",
Jubilant Foodworks,,₹575.656.35(1.12%),₹565.45,"₹37,234",
AU Small Fin Bank,,₹648.0011.40(1.79%),₹590.80,"₹37,231",
Jubilant FoodWorks,,₹575.656.35(1.12%),"₹2,776.10","₹36,636",
Biocon,,₹313.30-0.70(0.22%),₹306.75,"₹36,558",
Yes Bank,,₹16.650.00(0.00%),₹14.55,"₹36,455",
Astral,,"₹1,986.0522.85(1.16%)","₹1,791.70","₹35,999",
PNB,,₹33.550.15(0.45%),₹32.65,"₹35,950",
L&T Tech Services,,"₹3,563.0536.60(1.04%)","₹3,399.50","₹35,884",
Gujarat Fluorochem,,"₹3,384.7064.70(1.95%)","₹3,246.25","₹35,660",
Zydus,,₹357.60-7.00(1.92%),₹349.60,"₹35,386",
MRF,,"₹88,895.45183.65(0.21%)","₹83,046.50","₹35,221",
Max Healthcare,,₹375.65-2.65(0.70%),₹363.05,"₹35,202",
Zomato,,₹54.60-3.25(5.62%),₹45.70,"₹35,183",
Honeywell Automation,,"₹40,463.45-889.45(2.15%)","₹39,636.20","₹35,044",
Bharat Forge,,₹706.40-4.25(0.60%),₹730.75,"₹34,022",
Polycab India,,"₹2,360.65-14.10(0.59%)","₹2,272.05","₹33,994",
NHPC,,₹35.900.25(0.70%),₹33.70,"₹33,851",
CG Power & Inds,,₹231.953.35(1.47%),₹220.25,"₹33,633",
Cummins India,,"₹1,172.40-5.75(0.49%)","₹1,208.65","₹33,503",
HPCL,,₹250.705.90(2.41%),₹233.40,"₹33,108",
Petronet LNG,,₹215.852.40(1.12%),₹220.30,"₹33,045",
Sona Blw Precisi,,₹557.65-18.35(3.19%),₹563.65,"₹32,937",
Oberoi Realty,,₹896.850.35(0.04%),₹897.50,"₹32,633",
Indian Overseas Bank,,₹17.800.05(0.28%),₹17.15,"₹32,417",
Voltas,,₹972.95-27.20(2.72%),₹970.50,"₹32,112",
Aurobindo Pharma,,₹568.65-2.45(0.43%),₹543.75,"₹31,860",
Coromandel Intl,,"₹1,049.2510.85(1.04%)","₹1,058.90","₹31,102",
NMDC,,₹110.903.50(3.26%),₹105.60,"₹30,947",
Gujarat Gas,,₹437.75-6.70(1.51%),₹444.20,"₹30,578",
Linde India,,"₹3,524.35-47.80(1.34%)","₹3,584.20","₹30,567",
SAIL,,₹77.800.85(1.10%),₹73.80,"₹30,483",
Power Finance Corp,,₹118.750.05(0.04%),₹114.65,"₹30,268",
Dalmia Bharat,,"₹1,616.3054.45(3.49%)","₹1,585.30","₹29,703",
Tata Communications,,"₹1,088.9537.90(3.61%)","₹1,034.05","₹29,470",
UNO Minda,,₹529.050.00(0.00%),₹512.35,"₹29,293",
Lupin,,₹661.551.60(0.24%),₹641.60,"₹29,169",
Max Fin Services,,₹820.70-1.85(0.22%),₹826.45,"₹28,522",
Laurus Labs,,₹545.101.25(0.23%),₹525.25,"₹28,224",
Schaeffler India,,"₹2,826.2026.80(0.96%)","₹9,027.60","₹28,221",
Vodafone Idea,,₹8.750.00(0.00%),₹8.65,"₹27,782",
Aarti Industries,,₹814.304.95(0.61%),₹763.50,"₹27,677",
Ipca Laboratories,,"₹1,012.45-12.50(1.22%)","₹2,157.05","₹27,358",
OFSS,,"₹3,365.8546.10(1.39%)","₹3,102.60","₹26,790",
IRFC,,₹21.25-0.05(0.23%),₹20.40,"₹26,659",
Vedant Fashions,,"₹1,211.90-39.35(3.14%)","₹1,077.90","₹26,160",
Persistent Systems,,"₹3,792.4523.30(0.62%)","₹3,520.30","₹26,142",
Union Bank of India,,₹38.900.15(0.39%),₹38.15,"₹26,074",
3M India,,"₹23,702.25237.40(1.01%)","₹23,120.25","₹26,045",
Deepak Nitrite,,"₹2,025.1012.65(0.63%)","₹1,902.60","₹25,950",
Atul,,"₹9,382.60-4.15(0.04%)","₹8,705.40","₹25,692",
RECL,,₹133.500.80(0.60%),₹129.50,"₹25,575",
Solar Industries,,"₹3,142.80155.65(5.21%)","₹2,799.75","₹25,334",
IPCA Laboratories,,"₹1,024.9547.00(4.81%)",₹995.30,"₹25,251",
Motherson Sumi Wiring India,,₹79.450.00(0.00%),₹79.90,"₹25,231",
ABFRL,,₹277.902.80(1.02%),₹267.15,"₹25,070",
Aditya Birla Cap,,₹105.150.00(0.00%),₹103.50,"₹25,011",
ABFRL - PP,,₹187.450.00(0.00%),₹187.45,"₹24,662",
Relaxo Footwears,,₹998.40-17.35(1.71%),₹981.30,"₹24,427",
Mahindra Financial,,₹197.903.05(1.57%),₹197.20,"₹24,314",
Crompton Greaves,,₹373.85-15.00(3.86%),₹383.35,"₹24,291",
Indraprastha Gas,,₹353.151.60(0.46%),₹345.50,"₹24,185",
Bata India,,"₹1,922.708.85(0.46%)","₹1,881.45","₹24,181",
Torrent Power,,₹540.859.25(1.74%),₹502.85,"₹24,167",
Supreme Industries,,"₹1,869.50-23.50(1.24%)","₹1,875.70","₹23,826",
Zee Entertainment,,₹243.851.20(0.49%),₹248.05,"₹23,825",
GSK Pharma,,"₹1,408.5012.85(0.92%)","₹1,399.20","₹23,703",
Bayer Cropscience,,"₹5,482.05195.05(3.69%)","₹5,256.85","₹23,625",
Coforge,,"₹3,934.5033.40(0.86%)","₹3,846.05","₹23,437",
Thermax,,"₹2,064.75-9.60(0.46%)","₹2,066.15","₹23,267",
APL Apollo Tubes,,"₹1,029.60-23.20(2.20%)",₹922.70,"₹23,093",
CRISIL,,"₹3,193.808.40(0.26%)","₹3,140.85","₹22,935",
Syngene Intl,,₹563.15-7.25(1.27%),₹573.10,"₹22,816",
IDFC First Bank,,₹43.400.35(0.81%),₹36.60,"₹22,762",
Sumitomo Chemical,,₹471.854.30(0.92%),₹455.15,"₹22,718",
Tata Chemicals,,₹948.50-2.30(0.24%),₹890.00,"₹22,673",
Whirlpool of India,,"₹1,786.052.45(0.14%)","₹1,781.10","₹22,597",
The Federal Bank,,₹108.951.00(0.93%),₹107.30,"₹22,573",
